flat_id,timestamp,units_kWh,is_anomaly
A101,2024-05-31 18:30:00,0.949,false
A102,2024-05-31 18:30:00,0.97,false
A103,2024-05-31 18:30:00,13.655,true
A104,2024-05-31 18:30:00,0.881,false
A105,2024-05-31 18:30:00,0.493,false
A106,2024-05-31 18:30:00,0.536,false
A107,2024-05-31 18:30:00,0.482,false
A108,2024-05-31 18:30:00,0.446,false
A109,2024-05-31 18:30:00,0.439,false
A110,2024-05-31 18:30:00,0.879,false
A111,2024-05-31 18:30:00,0.545,false
A112,2024-05-31 18:30:00,0.566,false
A113,2024-05-31 18:30:00,0.471,false
A114,2024-05-31 18:30:00,0.488,false
A115,2024-05-31 18:30:00,0.415,false
A116,2024-05-31 18:30:00,0.585,false
A117,2024-05-31 18:30:00,0.746,false
A118,2024-05-31 18:30:00,0.386,false
A119,2024-05-31 18:30:00,0.821,false
A120,2024-05-31 18:30:00,0.28,false
A121,2024-05-31 18:30:00,0.577,false
A122,2024-05-31 18:30:00,0.423,false
A123,2024-05-31 18:30:00,1.039,false
A124,2024-05-31 18:30:00,0.252,false
A125,2024-05-31 18:30:00,0.868,false
A126,2024-05-31 18:30:00,0.912,false
A127,2024-05-31 18:30:00,0.728,false
A128,2024-05-31 18:30:00,0.621,false
A129,2024-05-31 18:30:00,0.669,false
A130,2024-05-31 18:30:00,0.913,false
A131,2024-05-31 18:30:00,0.465,false
A132,2024-05-31 18:30:00,0.551,false
A133,2024-05-31 18:30:00,0.881,false
A134,2024-05-31 18:30:00,0.761,false
A135,2024-05-31 18:30:00,0.863,false
A136,2024-05-31 18:30:00,0.449,false
A137,2024-05-31 18:30:00,1.092,false
A138,2024-05-31 18:30:00,0.591,false
A139,2024-05-31 18:30:00,0.716,false
A140,2024-05-31 18:30:00,0.643,false
A141,2024-05-31 18:30:00,0.594,false
A142,2024-05-31 18:30:00,0.664,false
A143,2024-05-31 18:30:00,0.293,false
A144,2024-05-31 18:30:00,0.23,false
A145,2024-05-31 18:30:00,0.834,false
A146,2024-05-31 18:30:00,0.269,false
A147,2024-05-31 18:30:00,0.959,false
A148,2024-05-31 18:30:00,0.559,false
A149,2024-05-31 18:30:00,0.648,false
A150,2024-05-31 18:30:00,0.424,false
A101,2024-05-31 19:30:00,0.937,false
A102,2024-05-31 19:30:00,0.681,false
A103,2024-05-31 19:30:00,0.722,false
A104,2024-05-31 19:30:00,0.347,false
A105,2024-05-31 19:30:00,0.451,false
A106,2024-05-31 19:30:00,0.909,false
A107,2024-05-31 19:30:00,0.254,false
A108,2024-05-31 19:30:00,0.6,false
A109,2024-05-31 19:30:00,0.553,false
A110,2024-05-31 19:30:00,0.877,false
A111,2024-05-31 19:30:00,0.751,false
A112,2024-05-31 19:30:00,0.73,false
A113,2024-05-31 19:30:00,0.689,false
A114,2024-05-31 19:30:00,0.468,false
A115,2024-05-31 19:30:00,0.55,false
A116,2024-05-31 19:30:00,0.796,false
A117,2024-05-31 19:30:00,0.983,false
A118,2024-05-31 19:30:00,0.387,false
A119,2024-05-31 19:30:00,0.269,false
A120,2024-05-31 19:30:00,0.697,false
A121,2024-05-31 19:30:00,0.862,false
A122,2024-05-31 19:30:00,12.953,true
A123,2024-05-31 19:30:00,0.884,false
A124,2024-05-31 19:30:00,0.958,false
A125,2024-05-31 19:30:00,10.799,true
A126,2024-05-31 19:30:00,0.89,false
A127,2024-05-31 19:30:00,0.501,false
A128,2024-05-31 19:30:00,0.742,false
A129,2024-05-31 19:30:00,0.27,false
A130,2024-05-31 19:30:00,0.667,false
A131,2024-05-31 19:30:00,1.013,false
A132,2024-05-31 19:30:00,0.389,false
A133,2024-05-31 19:30:00,0.866,false
A134,2024-05-31 19:30:00,0.787,false
A135,2024-05-31 19:30:00,0.646,false
A136,2024-05-31 19:30:00,0.412,false
A137,2024-05-31 19:30:00,0.605,false
A138,2024-05-31 19:30:00,0.944,false
A139,2024-05-31 19:30:00,0.631,false
A140,2024-05-31 19:30:00,0.613,false
A141,2024-05-31 19:30:00,0.585,false
A142,2024-05-31 19:30:00,0.827,false
A143,2024-05-31 19:30:00,0.795,false
A144,2024-05-31 19:30:00,0.816,false
A145,2024-05-31 19:30:00,0.728,false
A146,2024-05-31 19:30:00,0.339,false
A147,2024-05-31 19:30:00,0.632,false
A148,2024-05-31 19:30:00,0.714,false
