flat_id,timestamp,units_kWh,is_anomaly
A101,2024-06-01 00:00:00,0.37,FALSE
A101,2024-06-01 01:00:00,0.664,FALSE
A101,2024-06-01 02:00:00,0.477,FALSE
A101,2024-06-01 03:00:00,0.1,FALSE
A101,2024-06-01 04:00:00,14.453,TRUE
A101,2024-06-01 05:00:00,0.607,FALSE
A101,2024-06-01 06:00:00,2.743,FALSE
A101,2024-06-01 07:00:00,2.184,FALSE
A101,2024-06-01 08:00:00,1.55,FALSE
A101,2024-06-01 09:00:00,1.4,FALSE
A101,2024-06-01 10:00:00,2.259,FALSE
A101,2024-06-01 11:00:00,1.703,FALSE
A101,2024-06-01 12:00:00,1.412,FALSE
A101,2024-06-01 13:00:00,13.539,TRUE
A101,2024-06-01 14:00:00,2.146,FALSE
A101,2024-06-01 15:00:00,1.295,FALSE
A101,2024-06-01 16:00:00,1.619,FALSE
A101,2024-06-01 17:00:00,2.974,FALSE
A101,2024-06-01 18:00:00,4.43,FALSE
A101,2024-06-01 19:00:00,4.446,FALSE
A101,2024-06-01 20:00:00,3.314,FALSE
A101,2024-06-01 21:00:00,4.366,FALSE
A101,2024-06-01 22:00:00,3.623,FALSE
A101,2024-06-01 23:00:00,1.233,FALSE
A101,2024-06-02 00:00:00,0.962,FALSE
A101,2024-06-02 01:00:00,0.991,FALSE
A101,2024-06-02 02:00:00,1.041,FALSE
A101,2024-06-02 03:00:00,0.704,FALSE
A101,2024-06-02 04:00:00,0.317,FALSE
A101,2024-06-02 05:00:00,0.484,FALSE
A101,2024-06-02 06:00:00,2.224,FALSE
A101,2024-06-02 07:00:00,2.517,FALSE
A101,2024-06-02 08:00:00,1.896,FALSE
A101,2024-06-02 09:00:00,2.013,FALSE
A101,2024-06-02 10:00:00,1.768,FALSE
A101,2024-06-02 11:00:00,1.996,FALSE
A101,2024-06-02 12:00:00,1.733,FALSE
A101,2024-06-02 13:00:00,2.004,FALSE
A101,2024-06-02 14:00:00,1.08,FALSE
A101,2024-06-02 15:00:00,2.269,FALSE
A101,2024-06-02 16:00:00,12.923,TRUE
A101,2024-06-02 17:00:00,3.605,FALSE
A101,2024-06-02 18:00:00,3.071,FALSE
A101,2024-06-02 19:00:00,3.24,FALSE
A101,2024-06-02 20:00:00,4.344,FALSE
A101,2024-06-02 21:00:00,4.643,FALSE
A101,2024-06-02 22:00:00,3.867,FALSE
A101,2024-06-02 23:00:00,1.578,FALSE
A101,2024-06-03 00:00:00,0.756,FALSE
A101,2024-06-03 01:00:00,0.837,FALSE
A101,2024-06-03 02:00:00,1.017,FALSE
A101,2024-06-03 03:00:00,0.694,FALSE
A101,2024-06-03 04:00:00,0.592,FALSE
A101,2024-06-03 05:00:00,0.259,FALSE
A101,2024-06-03 06:00:00,2.634,FALSE
A101,2024-06-03 07:00:00,2.209,FALSE
A101,2024-06-03 08:00:00,1.493,FALSE
A101,2024-06-03 09:00:00,1.817,FALSE
A101,2024-06-03 10:00:00,1.67,FALSE
A101,2024-06-03 11:00:00,2.419,FALSE
A101,2024-06-03 12:00:00,2.067,FALSE
A101,2024-06-03 13:00:00,14.457,TRUE
A101,2024-06-03 14:00:00,2.54,FALSE
A101,2024-06-03 15:00:00,1.843,FALSE
A101,2024-06-03 16:00:00,1.26,FALSE
A101,2024-06-03 17:00:00,3.084,FALSE
A101,2024-06-03 18:00:00,4.203,FALSE
A101,2024-06-03 19:00:00,4.616,FALSE
A101,2024-06-03 20:00:00,4.134,FALSE
A101,2024-06-03 21:00:00,3.148,FALSE
A101,2024-06-03 22:00:00,11.263,TRUE
A101,2024-06-03 23:00:00,1.507,FALSE
A101,2024-06-04 00:00:00,0.316,FALSE
A101,2024-06-04 01:00:00,0.783,FALSE
A101,2024-06-04 02:00:00,0.68,FALSE
A101,2024-06-04 03:00:00,14.039,TRUE
A101,2024-06-04 04:00:00,0.488,FALSE
A101,2024-06-04 05:00:00,0.852,FALSE
A101,2024-06-04 06:00:00,1.313,FALSE
A101,2024-06-04 07:00:00,1.724,FALSE
A101,2024-06-04 08:00:00,2.458,FALSE
A101,2024-06-04 09:00:00,2.173,FALSE
A101,2024-06-04 10:00:00,1.56,FALSE
A101,2024-06-04 11:00:00,2.256,FALSE
A101,2024-06-04 12:00:00,1.317,FALSE
A101,2024-06-04 13:00:00,2.044,FALSE
A101,2024-06-04 14:00:00,1.416,FALSE
A101,2024-06-04 15:00:00,1.573,FALSE
A101,2024-06-04 16:00:00,1.096,FALSE
A101,2024-06-04 17:00:00,3.747,FALSE
A101,2024-06-04 18:00:00,3.438,FALSE
A101,2024-06-04 19:00:00,3.254,FALSE
A101,2024-06-04 20:00:00,3.447,FALSE
A101,2024-06-04 21:00:00,3.819,FALSE
A101,2024-06-04 22:00:00,2.865,FALSE
A101,2024-06-04 23:00:00,1.825,FALSE
A101,2024-06-05 00:00:00,11.574,TRUE
A101,2024-06-05 01:00:00,0.884,FALSE
A101,2024-06-05 02:00:00,0.919,FALSE
A101,2024-06-05 03:00:00,0.512,FALSE
A101,2024-06-05 04:00:00,0.561,FALSE
A101,2024-06-05 05:00:00,0.323,FALSE
A101,2024-06-05 06:00:00,1.663,FALSE
A101,2024-06-05 07:00:00,2.25,FALSE
A101,2024-06-05 08:00:00,1.722,FALSE
